majorSeq,schoolName,majorName
86,서울대학교,기계항공공학부(기계공학전공)
86,서울대학교,기계공학부
86,서울사이버대학교,기계제어공학과
86,서울시립대학교,기계정보공학과
86,세종대학교,기계공학전공
86,세종대학교,기계공학과
86,숙명여자대학교,기계시스템학부
86,숭실대학교,기계공학부
86,연세대학교,기계공학전공
86,연세대학교,기계공학부
86,이화여자대학교,휴먼기계바이오공학과
86,중앙대학교,기계공학부
86,한성대학교,기계시스템공학과
86,한성대학교,기계전자공학부
86,한양대학교,기계공학부
86,한양사이버대학교,기계제어공학과
86,경성대학교,기계자동차공학과
86,국립부경대학교,기계공학부
86,국립부경대학교,에너지수송시스템공학부
86,국립부경대학교,기계IT융합시스템공학전공
86,국립부경대학교,스마트기계모빌리티전공
86,국립부경대학교,기계공학전공
86,국립부경대학교,기계조선에너지시스템공학전공
86,국립부경대학교,기계시스템공학전공
86,국립한국해양대학교,기계시스템공학전공
86,국립한국해양대학교,기계공학부(기계시스템공학전공)
86,동명대학교,기계ㆍ로봇공학과
86,동명대학교,기계ㆍ로봇공학부
86,동명대학교,기계공학과
86,동서대학교,기계공학과
86,동아대학교,기계공학과
86,동아대학교,기계·산업경영공학부 기계공학과
86,동아대학교,조선해양플랜트공학과
86,동의대학교,기계자동차로봇부품공학부
86,동의대학교,기계공학과
86,동의대학교,기계공학전공
86,부산대학교,기계공학부
86,신라대학교,융합기계공학과
86,신라대학교,기계공학과
86,신라대학교,지능형기계공학전공
86,신라대학교,융합기계공학부
86,인천대학교,기계공학과
86,인하대학교,기계공학부
86,인하대학교,기계공학과
86,국립한밭대학교,기계소재융합시스템공학과
86,국립한밭대학교,융합기술학과
86,국립한밭대학교,기계공학과
86,충남대학교,기계공학과
86,충남대학교,바이오시스템기계공학과
86,충남대학교,기계공학부
86,한국과학기술원,기계공학과
86,한남대학교,기계공학과
86,경북대학교,기계공학부 기계공학전공
86,경북대학교,기계공학부
86,계명대학교,기계공학과
86,계명대학교,기계공학전공
86,울산과학기술원,기계항공 및 원자력공학부
86,울산과학기술원,기계공학과
86,울산대학교,기계공학부
86,울산대학교,기계자동차공학전공
86,광주과학기술원,기계공학부
86,광주대학교,기계자동차공학부(계약)
86,광주대학교,기계・금형공학부
86,광주대학교,기계자동차공학부
86,광주대학교,융합기계공학과
86,남부대학교,기계소재공학과
86,송원대학교,기계자동차공학과
86,전남대학교,기계공학부
86,전남대학교,융합바이오시스템기계공학과
86,조선대학교,기계시스템미래자동차공학부(기계시스템공학)
86,조선대학교,기계공학과
86,가천대학교,기계・스마트・산업공학부(기계공학전공)
86,가천대학교,기계공학과
86,경기대학교,기계시스템공학부
86,경기대학교,기계시스템공학과
86,경희대학교,기계공학과
86,단국대학교,기계공학과
86,대진대학교,IT기계공학과
86,대진대학교,기계공학과
86,명지대학교 자연캠퍼스,기계산업경영공학부
86,명지대학교 자연캠퍼스,기계공학과
86,성균관대학교,기계공학부
86,수원대학교,기계공학
86,신한대학교,기계자동차융합공학과
86,신한대학교,기계공학과
86,아주대학교,기계공학과
86,한경국립대학교,기계공학전공
86,한경국립대학교,ICT로봇기계공학부
86,한경국립대학교,기계공학과
86,한국공학대학교,기계제조공학과
86,한국공학대학교,기계공학과
86,한국항공대학교,기계항공공학과
86,한양대학교 ERICA캠퍼스,기계공학과
86,강원대학교,기계시스템공학부
86,강원대학교,기계의용공학과
86,강원대학교,CAD/CAM전공
86,강원대학교,기계의용ㆍ메카트로닉스공학과
86,강원대학교,기계공학과
86,강원대학교,기계의용공학전공
86,강원대학교,기계공학전공
86,강원대학교,기계의용ㆍ메카트로닉스공학부
86,강원대학교,기계공학전공
86,강원대학교,바이오시스템기계공학전공
86,강원대학교,정밀기계공학과
86,강원대학교,기계의용·메카트로닉스·재료공학부
86,강원대학교,농업기계공학전공
86,국립강릉원주대학교,기계공학과
86,한라대학교,기계자동차로봇공학부
86,건국대학교 글로컬캠퍼스,나노전자기계공학과
86,건국대학교 글로컬캠퍼스,기계전자전공
86,건국대학교 글로컬캠퍼스,나노전자기계공학전공
86,국립한국교통대학교,기계공학전공
86,국립한국교통대학교,기계자동차항공공학부
86,국립한국교통대학교,기계공학과
86,청주대학교,에너지융합공학과
86,청주대학교,에너지융합공학과
86,충북대학교,기계공학부
86,건양대학교,융합기계공학과
86,건양대학교,드론기계학과
86,건양대학교,기계공학과
86,국립공주대학교,기계자동차공학부
86,국립공주대학교,생산기술공학과
86,국립공주대학교,기계시스템공학전공
86,국립공주대학교,금형설계공학과
86,국립공주대학교,금형공학과
86,국립공주대학교,생산기계공학과
86,국립공주대학교,디지털융합금형공학과
86,국립공주대학교,기계공학전공
86,선문대학교,기계공학과
86,선문대학교,기계ICT융합공학부
86,순천향대학교,융합기계학과
86,순천향대학교,기계공학과
86,한국기술교육대학교,기계공학부
86,호서대학교,기계자동차공학부
86,호서대학교,기계ICT공학과
86,호서대학교,기계공학과
86,호서대학교,기계공학부
86,호서대학교,기계공학전공
86,국립군산대학교,기계공학부
86,국립군산대학교,기계공학부(기계공학전공)
86,우석대학교,기계자동차공학과
86,원광대학교,기계공학부
86,원광대학교,기계자동차공학부
86,원광대학교,기계자동차계열
86,원광대학교,기계공학과
86,전북대학교,기계시스템공학부(응용기계공학전공)
86,전북대학교,기계공학과
86,전북대학교,기계시스템공학부(정밀기계공학전공)
86,전북대학교,기계시스템공학부
86,전주대학교,기계자동차융합공학부
86,전주대학교,기계공학과
86,전주대학교,기계시스템공학과
86,전주대학교,기계자동차공학과
86,호원대학교,기계공학과
86,호원대학교,기계자동차공학과
86,국립목포대학교,기계・신소재공학과(기계공학심화트랙)
86,국립목포대학교,기계조선해양공학부
86,국립목포대학교,기계공학과
86,국립목포대학교,기계・조선・첨단재료자율전공학부
86,국립순천대학교,융합바이오시스템기계공학과
86,국립순천대학교,기계우주항공공학부(기계공학전공)
86,동신대학교,기계공학과
86,전남대학교,기계시스템공학과
86,전남대학교,기계IT융합공학과
86,초당대학교,글로벌화학기계공학과
86,경북대학교,정밀기계공학과
86,경일대학교,기계자동화융합학과
86,경일대학교,스마트디자인공학부
86,국립경국대학교,기계자동차공학과
86,국립경국대학교,기계공학과
86,국립금오공과대학교,기계공학과
86,국립금오공과대학교,기계시스템공학부 스마트모빌리티전공
86,국립금오공과대학교,기계공학부
86,국립금오공과대학교,기계융합공학과
86,국립금오공과대학교,기계시스템공학과
86,국립금오공과대학교,기계시스템공학부
86,대구가톨릭대학교,기계공학전공
86,대구가톨릭대학교,기계공학과
86,대구가톨릭대학교,기계시스템전공
86,대구가톨릭대학교,기계자동차공학부
86,대구대학교,기계자동차공학부(기계공학전공)
